Id,SalePrice
1461,121428.64077508776
1462,150684.28558194917
1463,172225.71335064253
1464,192055.3564221389
1465,195793.89383070223
1466,174785.52008350624
1467,178596.5509442914
1468,168872.36034640315
1469,184199.00597339513
1470,123804.27718160217
1471,188477.93281285383
1472,97614.37650023401
1473,97073.80480833395
1474,148639.69720053716
1475,122816.31157597594
1476,362804.25960828597
1477,244130.20589089562
1478,304817.9891106348
1479,288369.1556209005
1480,477304.2909625354
1481,314022.3993703802
1482,211847.24199618137
1483,175119.355900665
1484,173044.8836205928
1485,187512.82768989113
1486,195335.09634192666
1487,327038.23905820947
1488,231463.1752307315
1489,195745.2354222173
1490,223534.68146267207
1491,189949.2619412442
1492,90609.33853168484
1493,180833.3538059579
1494,292330.04694894527
1495,284652.5898571769
1496,232374.81775030354
1497,177625.47063511366
1498,166142.29744902265
1499,159626.00763495118
1500,161090.3801870335
1501,172765.56134733828
1502,157707.40749781296
1503,283147.6907487343
1504,237162.7265539624
1505,220865.95922094543
1506,181493.81585187602
1507,237652.007303025
1508,193775.38128006252
1509,157617.30917010875
1510,148372.76177113657
1511,150223.1412616936
1512,165644.50198493118
1513,146258.561084381
1514,152948.6880185807
1515,180873.6977847867
1516,151335.68009390042
1517,157405.26431852626
1518,129103.31326567344
1519,215639.00227184032
1520,133103.62901418444
1521,133026.79609230094
1522,166306.64905589313
1523,113552.07167655701
1524,120943.78013363169
1525,121196.52901621786
1526,119253.36311945308
1527,105642.41751932845
1528,128648.97818526931
1529,147029.61692884174
1530,183777.499845371
1531,122402.6219517494
1532,98953.18889717753
1533,146004.69344713513
1534,120199.85065654307
1535,139880.07885642353
1536,111029.19562321446
1537,69533.81940367198
1538,151157.02804331988
1539,194447.62519574427
1540,100814.56505388206
1541,140520.9087766924
1542,134354.42108312977
1543,178591.18743952608
1544,84161.83561180522
1545,110258.86148081691
1546,135695.0304882494
1547,135435.2388912911
1548,132801.5785902107
1549,118446.34257694507
1550,137027.50101723944
1551,108443.00609110361
1552,139727.24806426288
1553,142532.25920010725
1554,123173.87715077066
1555,155609.44690561606
1556,88567.23603865667
1557,102747.62749543771
1558,101175.7729994193
1559,86868.4636313877
1560,137697.4946234793
1561,130872.28307528631
1562,129928.22231085574
1563,123197.09424688017
1564,153921.37263371807
1565,147120.9029084493
1566,223966.08088195958
1567,79177.03745035717
1568,235495.8282122498
1569,135203.177075725
1570,137820.25989191502
1571,118976.67123444243
1572,138575.6352071899
1573,227884.66495197962
1574,119731.34872250861
1575,226497.3556124441
1576,238367.97039534384
1577,193775.25005810196
1578,145518.36218616384
1579,141373.70019489876
1580,191595.67913873505
1581,153604.33332763385
1582,130546.56741514639
1583,308074.0692490303
1584,227207.19354691944
1585,140019.29667033834
1586,73694.42796961349
1587,108597.53991147835
1588,148017.25021666312
1589,96251.41402766296
1590,135786.61395660514
1591,96999.47167674554
1592,111121.1090681382
1593,127957.98934499863
1594,127853.49385418597
1595,112675.07509550927
1596,216038.14879744995
1597,176475.4478299391
1598,203350.01705744327
1599,169486.53379720787
1600,173192.27918504347
1601,73101.40066225697
1602,112521.6899242748
1603,85764.07934809788
1604,269312.19421608036
1605,247262.1661364512
1606,167812.09691090765
1607,171699.95738818386
1608,220324.2721674664
1609,190706.21565202193
1610,156122.09758773347
1611,142610.4364668805
1612,170629.9302147112
1613,167467.8472925162
1614,122650.97767168781
1615,88385.89241674612
1616,80057.93805107388
1617,91257.8172583202
1618,129261.2918317258
1619,140162.52441810461
1620,162021.31435393856
1621,136266.72295588735
1622,142316.11368714768
1623,268633.96707035357
1624,206266.9151579257
1625,123239.93642599776
1626,172585.0953900173
1627,185500.61316050042
1628,272099.9733977924
1629,181970.80292483937
1630,324904.62515071675
1631,220425.07226808008
1632,237574.672967417
1633,182184.59811964864
1634,187382.3864755311
1635,176109.7851060182
1636,162141.8771889493
1637,184844.6565505566
1638,190201.24769160856
1639,181187.89798200864
1640,244877.68288947723
1641,178779.7809149209
1642,234869.73760521493
1643,218127.15841087108
1644,234467.646498111
1645,189048.2021949974
1646,161530.98402063904
1647,163197.74749473718
1648,133099.9721516603
1649,143689.36760894186
1650,120681.93017824556
1651,122607.88423543387
1652,97531.29260849295
1653,102097.24623887867
1654,149393.2498962271
